Condition|Variant
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected central nervous system (CNS) vasculitis. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; previously treated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; previously treated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; untreated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known high-flow vascular malformation (AVM/AVF). Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; untreated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; untreated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known high-flow vascular malformation (AVM/AVF). Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; previously treated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected central nervous system (CNS) vasculitis. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; previously treated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected central nervous system (CNS) vasculitis. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|High-risk cerebral aneurysm screening.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|High-risk cerebral aneurysm screening.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known high-flow vascular malformation (AVM/AVF). Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; untreated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected central nervous system (CNS) vasculitis. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; previously treated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|High-risk cerebral aneurysm screening.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|High-risk cerebral aneurysm screening.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known high-flow vascular malformation (AVM/AVF). Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|High-risk cerebral aneurysm screening.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected central nervous system (CNS) vasculitis. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|High-risk cerebral aneurysm screening.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|High-risk cerebral aneurysm screening.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; previously treated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; untreated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; untreated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known high-flow vascular malformation (AVM/AVF). Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|High-risk cerebral aneurysm screening.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known high-flow vascular malformation (AVM/AVF). Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|High-risk cerebral aneurysm screening.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known high-flow vascular malformation (AVM/AVF). Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Known cerebral aneurysm; untreated. Surveillance monitoring.
Cerebrovascular Diseases-Aneurysm, Vascular Malformation, and Subarachnoid Hemorrhage|Suspected cerebral vasospasm. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Prior ischemic infarct. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; less than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known cervical vascular dissection or injury. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Focal neurologic deficit. Clinically suspected acute ischemic stroke. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known intraparenchymal hemorrhage. No history of trauma. Follow-up imaging study.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected cervical vascular dissection or injury. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic cervical bruit. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Clinical transient ischemic attack (TIA). Symptoms resolved. Initial imaging
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Recent ischemic infarct; greater than 24 hours. Initial imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Asymptomatic carotid stenosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Known venous sinus thrombosis. Surveillance imaging.
Cerebrovascular Diseases-Stroke and Stroke-Related Conditions|Adult. Suspected venous sinus thrombosis. Initial imaging.
